id;titulo;data_de_abertura;status;data_de_fechamento;requerente_id;categoria;localizacao;descricao;atribuido_grupo_tecnico;cidade;responsavel_id;qtd_monitor;cidade_normalizada;cidade_ibge;codigo_ibge
59973;Rede, [TERMO_INTERNO] e Internet: [NOME_REMOVIDO]/Orientação;17-11-2025 10:01;Em atendimento (atribuído);;USER_d3b026a5;REDE E INTERNET;SEDE ADMINISTRATIVA IV;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Natal - [NOME_REMOVIDO] [TERMO_INTERNO] e do [NOME_REMOVIDO] [TERMO_INTERNO] > [NOME_REMOVIDO]
 

O QUE DESEJA SOLICITAR?

2) SELECIONE: : [NOME_REMOVIDO]/Orientação
 

INFORMAÇÕES OBRIGATÓRIAS:

3) TELEFONE DE CONTATO: : [TELEFONE_REMOVIDO]
4) DÚVIDA/SOLICITAÇÃO DE INFORMAÇÃO: : 
As colaboradoras [NOME_REMOVIDO] (thays.nazario) e [NOME_REMOVIDO]  ([LOGIN_REMOVIDO])não estão conseguindo acessar a [TERMO_INTERNO].

Segundo o [TERMO_INTERNO]: verificamos mais ta normal o [LOGIN_REMOVIDO] vcs.Pode ter sido alguma alteração de data referente a LOTAÇÃO ou contrato. Pede para Marcio abrir o chamado para a [TERMO_INTERNO],pra que eles possam verificar melhor no sistema. ai bota uma obs que ja foi verificado pelo [TERMO_INTERNO] e o [LOGIN_REMOVIDO] esta bloqueado.

 

ANEXO:

5) : Documento anexado";SUPORTE INFRA;Natal;USER_ed78a147;0;natal;Natal;2408102
59946;Rede, [TERMO_INTERNO] e Internet: Liberação - Acesso à [TERMO_INTERNO];17-11-2025 09:30;Em atendimento (atribuído);;USER_58a6d9d8;REDE E INTERNET;MOSSORÓ;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Mossoró > Promotorias > 15ª [NOME_REMOVIDO] justiça
 

O QUE DESEJA SOLICITAR?

2) SELECIONE: : Liberação - Acesso à [TERMO_INTERNO]
 

INFORMAÇÕES OBRIGATÓRIAS:

3) PESSOA SOLICITANTE: : [NOME_REMOVIDO]
4) E-MAIL: : [EMAIL_REMOVIDO]
5) DESCRIÇÃO : 
Sou MP-residente na 15ª PmJ de Mossoró. 
Solicito acesso do meu [LOGIN_REMOVIDO] [TERMO_INTERNO] do [TERMO_INTERNO]. 
[LOGIN_REMOVIDO], senha: [SENHA_REMOVIDA]

 

ANEXO:

6) : Nenhum documento anexado";SUPORTE INFRA;Mossoró;USER_ca7ca1e2;0;mossoro;Mossoró;2408003
59940;Suporte à estação de trabalho: Instalação/[NOME_REMOVIDO] software ou sistema;17-11-2025 09:28;Em atendimento (atribuído);;USER_48b2c7e1;SUPORTE À ESTAÇÃO;PORTALEGRE;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Portalegre > [NOME_REMOVIDO] justiça
 

O QUE DESEJA SOLICITAR?

2) SELECIONE : Instalação/[NOME_REMOVIDO] software ou sistema
 

INFORMAÇÕES OBRIGATÓRIAS:

3) TELEFONE PARA CONTATO: : [TELEFONE_REMOVIDO]
4) SOFTWARE/SISTEMA A SER INSTALADO: : [NOME_REMOVIDO]
5) NOME OU ENDEREÇO IP DA ESTAÇÃO DE TRABALHO: : [IP_REMOVIDO]
6) INFORMAÇÕES ADICIONAIS : 
Solicito a instalação do [NOME_REMOVIDO] nessa máquina.

IP n.º [IP_REMOVIDO]

POR028726 (DC1B-S)";SUPORTE N2;Portalegre;USER_ca7ca1e2;0;portalegre;Portalegre;2410207
59921;Suporte à estação de trabalho: Problema - Computador;17-11-2025 09:09;Em atendimento (atribuído);;USER_2ad030a2;SUPORTE À ESTAÇÃO;MOSSORÓ;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Mossoró > Promotorias > [NOME_REMOVIDO] promotorias patrimônio público (7ª, 11ª, 19ª)
 

O QUE DESEJA SOLICITAR?

2) SELECIONE : Problema - Computador
 

INFORMAÇÕES OBRIGATÓRIAS:

3) TELEFONE PARA CONTATO: : [TELEFONE_REMOVIDO]
4) NOME OU ENDEREÇO IP DA ESTAÇÃO DE TRABALHO ([NOME_REMOVIDO], [NOME_REMOVIDO]): : tombo 046885
5) DESCRIÇÃO DO PROBLEMA: : 
Prezados,

Solicito manutenção no computador tombo 046885, localizado no gabinete da 19ª [NOME_REMOVIDO]. O equipamento apresenta lentidão.

 

6) INFORMAÇÕES ADICIONAIS : 
 

ANEXO:

7) : Nenhum documento anexado";SUPORTE N2;Mossoró;USER_ca7ca1e2;0;mossoro;Mossoró;2408003
59919;[NOME_REMOVIDO] serviços de impressão: Instalar/configurar impressora;17-11-2025 09:08;Pendente;;USER_ee1bca1d;GAU > IMPRESSORA E SERVIÇÕES DE IMPRESSÃO;MOSSORÓ;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Mossoró
 

[NOME_REMOVIDO] [NOME_REMOVIDO]:

2) SELECIONE: : Instalar/configurar impressora
 

INFORMAÇÕES OBRIGATÓRIAS:

3) [NOME_REMOVIDO]: : 046374
4) TELEFONE DE CONTATO: : [TELEFONE_REMOVIDO]
5) [NOME_REMOVIDO]: : C3010ND
 

INFORMAÇÕES ADICIONAIS:

6) A [NOME_REMOVIDO] DE REDE OU USB? : [NOME_REMOVIDO] rede
7) [NOME_REMOVIDO] IP DA IMPRESSORA: : x
 

[NOME_REMOVIDO]:

8) TOMBO: : 018581
9) ENDEREÇO IP: : x
 

ANEXO:

10) : Nenhum documento anexado";SUPORTE N1;Mossoró;USER_ca7ca1e2;0;mossoro;Mossoró;2408003
59910;Suporte à estação de trabalho: Problema - Computador;17-11-2025 08:58;Fechado;17-11-2025 09:26;USER_39e4bcde;SUPORTE À ESTAÇÃO;SEDE CENTRAL I;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Natal - [NOME_REMOVIDO] [TERMO_INTERNO] > Coordenadoria jurídica judicial
 

O QUE DESEJA SOLICITAR?

2) SELECIONE : Problema - Computador
 

INFORMAÇÕES OBRIGATÓRIAS:

3) TELEFONE PARA CONTATO: : [TELEFONE_REMOVIDO]
4) NOME OU ENDEREÇO IP DA ESTAÇÃO DE TRABALHO ([NOME_REMOVIDO], [NOME_REMOVIDO]): : 023286
5) DESCRIÇÃO DO PROBLEMA: : 
[NOME_REMOVIDO] monitores está sem funcionar.

6) INFORMAÇÕES ADICIONAIS : 
 

ANEXO:

7) : Nenhum documento anexado";SUPORTE N2;Natal;USER_ed78a147;0;natal;Natal;2408102
59820;Suporte em eventos: [NOME_REMOVIDO] suporte em evento;14-11-2025 14:14;Em atendimento (atribuído);;USER_7b94fedd;SUPORTE EM EVENTOS;MOSSORÓ;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Mossoró > Administração > Secretaria regional
 

INFORMAÇÕES OBRIGATÓRIAS:

2) SOLICITANTE: : [NOME_REMOVIDO]
3) [NOME_REMOVIDO]: : [NOME_REMOVIDO] 15ª PmJ
4) DATA E [NOME_REMOVIDO]: : 18-11-2025 08:00
5) DATA E [NOME_REMOVIDO]: : 18-11-2025 12:00
6) [NOME_REMOVIDO]: : Miniauditório 
7) [NOME_REMOVIDO] O EVENTO: : 
-

 

ANEXO:

8) : Nenhum documento anexado";SUPORTE N2;Mossoró;USER_ca7ca1e2;0;mossoro;Mossoró;2408003
59819;Suporte em eventos: [NOME_REMOVIDO] suporte em evento;14-11-2025 14:14;Em atendimento (atribuído);;USER_7b94fedd;SUPORTE EM EVENTOS;MOSSORÓ;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Mossoró > Administração > Secretaria regional
 

INFORMAÇÕES OBRIGATÓRIAS:

2) SOLICITANTE: : [NOME_REMOVIDO]
3) [NOME_REMOVIDO]: : Circulo restaurativo
4) DATA E [NOME_REMOVIDO]: : 17-11-2025 13:00
5) DATA E [NOME_REMOVIDO]: : 17-11-2025 17:00
6) [NOME_REMOVIDO]: : [NOME_REMOVIDO] sala de audiência 
7) [NOME_REMOVIDO] O EVENTO: : 
-

 

ANEXO:

8) : Nenhum documento anexado";SUPORTE N2;Mossoró;USER_ca7ca1e2;0;mossoro;Mossoró;2408003
59815;Suporte em eventos: [NOME_REMOVIDO] suporte em evento;14-11-2025 14:08;Em atendimento (atribuído);;USER_7b94fedd;SUPORTE EM EVENTOS;MOSSORÓ;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Mossoró > Administração > Secretaria regional
 

INFORMAÇÕES OBRIGATÓRIAS:

2) SOLICITANTE: : [NOME_REMOVIDO]
3) [NOME_REMOVIDO]: : Circulo restaurativo
4) DATA E [NOME_REMOVIDO]: : 17-11-2025 13:00
5) DATA E [NOME_REMOVIDO]: : 17-11-2025 17:00
6) [NOME_REMOVIDO]: : Foyer
7) [NOME_REMOVIDO] O EVENTO: : 
Solicito suporte neste evento para possíveis problemas que possam surgir neste dia.

 

ANEXO:

8) : Nenhum documento anexado";SUPORTE N2;Mossoró;USER_ca7ca1e2;0;mossoro;Mossoró;2408003
59811;Suporte em eventos: [NOME_REMOVIDO] suporte em evento;14-11-2025 14:00;Em atendimento (atribuído);;USER_7b94fedd;SUPORTE EM EVENTOS;MOSSORÓ;"DADOS DO FORMULÁRIO

LOTAÇÃO:

1) INFORME ONDE VOCÊ ESTÁ LOTADO: : Mossoró > Administração > Secretaria regional
 

INFORMAÇÕES OBRIGATÓRIAS:

2) SOLICITANTE: : [NOME_REMOVIDO]
3) [NOME_REMOVIDO]: : Audiências 6ª PmJ
4) DATA E [NOME_REMOVIDO]: : 17-11-2025 07:00
5) DATA E [NOME_REMOVIDO]: : 17-11-2025 17:00
6) [NOME_REMOVIDO]: : [NOME_REMOVIDO] audiência
7) [NOME_REMOVIDO] O EVENTO: : 
-

 

ANEXO:

8) : Nenhum documento anexado";SUPORTE N2;Mossoró;USER_ca7ca1e2;0;mossoro;Mossoró;2408003
