cidade_unica,cidade_estado
Acari,"Acari, RN"
Alexandria,"Alexandria, RN"
Almino Afonso,"Almino Afonso, RN"
Angicos,"Angicos, RN"
Apodi,"Apodi, RN"
Areia Branca,"Areia Branca, RN"
Assú,"Açu, RN"
Baraúnas,"Baraúna, RN"
Caicó,"Caicó, RN"
Campo Grande,"Campo Grande, RN"
Canguaretama,"Canguaretama, RN"
Caraúbas,"Caraúbas, RN"
Ceará Mirim,"Ceará-Mirim, RN"
Cruzeta,"Cruzeta, RN"
Currais Novos,"Currais Novos, RN"
Extremoz,"Extremoz, RN"
Florânia,"Florânia, RN"
Goianinha,"Goianinha, RN"
Ipanguaçu,"Ipanguaçu, RN"
Jardim Piranhas,"Jardim de Piranhas, RN"
Jardim do Seridó,"Jardim do Seridó, RN"
João Câmara,"João Câmara, RN"
Jucurutu,"Jucurutu, RN"
Lajes,"Lajes, RN"
Luis Gomes,"Luís Gomes, RN"
Macau,"Macau, RN"
Macaíba,"Macaíba, RN"
Marcelino Vieira,"Marcelino Vieira, RN"
Martins,"Martins, RN"
Monte Alegre,"Monte Alegre, RN"
Mossoró,"Mossoró, RN"
N/L,
Natal,"Natal, RN"
Nisia Floresta,"Nísia Floresta, RN"
Nova Cruz,"Nova Cruz, RN"
Parelhas,"Parelhas, RN"
Parnamirim,"Parnamirim, RN"
Patu,"Patu, RN"
Pau dos Ferros,"Pau dos Ferros, RN"
Pendências,"Pendências, RN"
Portalegre,"Portalegre, RN"
Santa Cruz,"Santa Cruz, RN"
Santana do Matos,"Santana do Matos, RN"
Santo Antônio,"Santo Antônio, RN"
São Bento do Norte,"São Bento do Norte, RN"
São Gonçalo,"São Gonçalo do Amarante, RN"
São José Campestre,"São José do Campestre, RN"
São José de Mipibu,"São José de Mipibu, RN"
São Miguel,"São Miguel, RN"
São Paulo do Potengi,"São Paulo do Potengi, RN"
São Tomé,"São Tomé, RN"
Tangará,"Tangará, RN"
Touros,"Touros, RN"
Umarizal,"Umarizal, RN"
Upanema,"Upanema, RN"
